ID_RMC,Ciclo,Ramo,Nombre del programa,Derecho Social o Bienestar Económico (directo),Descripción del programa,Población Potencial,Población Objetivo,Población Atendida,Cobertura del programa (PA/PPx100),Eficiencia del programa (PA/POx100),Original,Modificado,Ejercido
47-S249,2016,Entidades no Sectorizadas,Programa para el Mejoramiento de la Producción y la Productividad Indígena,Bienestar Económico,"El objetivo del Programa es impulsar la consolidación de proyectos productivos y turísticos, así como de acciones de seguridad alimentaria para la población indígena organizada en grupos, sociedades o empresas; que habita en localidades con 40% y más de población indígena, para mejorar sus ingresos monetarios y/o no monetarios y crear condiciones de igualdad entre las mujeres y los hombres. Para cumplir este objetivo, se brinda capacitación, asistencia técnica y acompañamiento para que la población apoyada cuente con las condiciones necesarias para producir bienes y/o servicios de calidad; se desarrollan estrategias de carácter comercial que permita consolidar la presencia en los mercados de los productos y servicios ofertados por la población indígena; y se contribuye a la seguridad alimentaria de las familias indígenas, mediante la entrega de un paquete de productos básicos.",5700660.0,219273.0,101164.0,1.77,46.14,1571.86,1512.22,1512.22
47-S178,2016,Entidades no Sectorizadas,Programa de Apoyo a la Educación Indígena,Educación,"El Objetivo General del PAEI es ""Apoyar la permanencia en la educación de niños y jóvenes indígenas, inscritos en escuelas públicas, a través de diferentes modalidades de atención, priorizando aquellos que no tienen opciones educativas en su comunidad"". 
Para cumplir este objetivo, el programa brinda servicio de hospedaje a los beneficiarios que lo requieran, a través de las Casas del Niño Indígena, verificando que éstos se mantengan en condiciones de habitabilidad, equipamiento y uso adecuado; asimismo, brinda servicios de alimentación a los beneficiarios de las casas y comedores del niño indígena para contribuir a su sano crecimiento y desarrollo; asimismo, fomenta la permanencia, continuidad, conclusión y titulación de la formación educativa profesional de los jóvenes indígenas.
",803640.0,446891.0,75390.0,9.38,16.87,1233.04,982.45,982.45
47-S010,2016,Entidades no Sectorizadas,Fortalecimiento a la Transversalidad de la Perspectiva de Género,No Discriminación,"El Programa de Fortalecimiento a la Transversalidad de la Perspectiva de Género (PFTPG) tiene por objetivo “Fortalecer a los mecanismos para el adelanto de las mujeres con el fin de contribuir a la transversalización e institucionalización de la perspectiva de género en las políticas públicas, programas, proyectos y en la cultura organizacional de los poderes públicos en las entidades federativas, municipios y delegaciones del Distrito Federal, para cumplir con la Política Nacional en materia de Igualdad entre mujeres y hombres”.  Para el PFTPG, los Mecanismos para el Adelanto de las Mujeres (MAM) son: las 32 Instancias de las Mujeres en las Entidades Federativas (IMEF) <Modalidad I>, las Instancias Municipales de la Mujeres (IMM) centralizadas y descentralizadas, las delegaciones del Distrito Federal, <Modalidad II>, así como los municipios y delegaciones del Distrito Federal que instalen o fortalezcan Centros para el Desarrollo de las Mujeres (CDM)<Modalidad III>. El Programa durante el ejercicio fiscal, otorga subsidios a los MAM para la ejecución de los proyectos beneficiados, en las tres modalidades de participación. ",2490.0,1938.0,642.0,25.78,33.13,323.86,308.48,308.13
38-S191,2016,Consejo Nacional de Ciencia y Tecnología,Sistema Nacional de Investigadores,Educación,"El programa otorga distinciones y estímulos económicos en tres categorías: Candidato a Investigador Nacional, Investigador Nacional (Niveles I, II, III), e Investigador Nacional Emérito. Esto mediante la evaluación de la producción científica y formación de capital humano realizada por aquellos investigadores en México, o mexicanos en el extranjero que someten una solicitud de ingreso, reingreso o permanencia en el Sistema. La entrega del estímulo económico se realiza en forma mensual y el monto depende de la categoría y nivel de la distinción otorgada. ",31439.0,25072.0,25072.0,79.75,100.0,4084.63,4448.58,4448.58
38-S190,2016,Consejo Nacional de Ciencia y Tecnología,Becas de posgrado y apoyos a la calidad,Educación,"El Programa otorga: becas para realizar estudios de especialidades y posgrados; y apoyos para la consolidación en diferentes modalidades: estancias posdoctorales, repatriación y retención, inserción de científicos y tecnólogos en empresas, estancias sabáticas; tanto en México como en el extranjero. Los aspirantes deben atender a la convocatoria correspondiente o ser postulados por parte de los coordinadores de los programas registrados en el Programa Nacional de Posgrados de Calidad (PNPC). Los montos de las becas dependen del tipo de posgrado y la modalidad del apoyo, conforme a lo establecido en cada convocatoria.",57803.0,57803.0,59252.0,102.51,102.51,9114.86,9433.58,9433.58
38-E003,2016,Consejo Nacional de Ciencia y Tecnología,"Investigación científica, desarrollo e innovación",Educación,"Por medio de los 27 Centros Públicos de Investigación (CPI) sectorizados al CONACYT, el programa provee servicios científicos y tecnológicos para el fortalecimiento de los actores del Sistema Nacional de Ciencia, Tecnología e Innovación (SNCTI) que lo soliciten. Tales servicios son: la generación y publicación de investigación científica relevante, pertinente y de calidad; la generación y transferencia de al sector productivo de desarrollo tecnológico e innovación; la oferta de programas de posgrado de calidad altamente especializados; y la difusión a la sociedad y comunidades académicas de la actividad científica y tecnológica del sistema de CPI CONACYT.",5338.0,5338.0,5338.0,100.0,100.0,5702.41,5584.46,5584.46
20-S174,2016,Bienestar,Programa de estancias infantiles para apoyar a madres trabajadoras,Seguridad Social,"El Programa de Estancias Infantiles para Apoyar a Madres Trabajadoras (PEI) contribuye a dotar de esquemas de seguridad social a la población en condiciones de carencia o pobreza. Específicamente, busca mejorar las condiciones de acceso y permanencia en el mercado laboral mediante apoyos para contar con servicios de cuidado y atención infantil. El PEI ofrece apoyos mensuales a las madres, padres solos y tutores (MPT´s) que trabajan, buscan empleo o estudian, con niñas y niños bajo su cuidado de entre 1 y hasta 3 años 11 meses (1 día antes de cumplir los 4 años) y entre 1 y hasta 5 años 11 meses (un día antes de cumplir los 6 años) en niñas y niños que presentan alguna discapacidad, para el pago (total o parcial) de los servicios que se ofrecen en las Estancias Infantiles (EI). Asimismo, el PEI ofrece apoyos monetarios no recurrentes para las personas que deseen establecer y operar una EI para brindar servicios de atención y cuidado infantil.",3132042.0,825460.0,312330.0,9.97,37.84,3925.59,3722.2,3722.2
20-E016,2016,Bienestar,Articulación de políticas públicas integrales de juventud,Bienestar Económico,"El problema que tiene identificado es la ""población joven con acceso desigual al desarrollo social"", el objetivo específico en sus Políticas de Operación (POP) 2016 fue ""Fortalecer su acceso a la educación, participación social, trabajo y salud que les permiten consolidar su incorporación equitativa en los procesos de desarrollo"". Los tipos de apoyo se dividieron en las siguientes tres modalidades y once categorías de apoyo: I. Modalidad Concursos (categorías: 1. Premio Nacional de la Juventud, 2. Concurso Juvenil de Debate Político, 3. De Joven a Joven por la salud integral a través del Arte y la Cultura, 4. Jóvenes Creadores de Arte Popular Mexicano y 5. Concurso Ritmo Joven), II. Modalidad Becas (categorías: 6. Rumbo Joven y 7. Transición Escuela-Trabajo) y III. Modalidad de Apoyo a proyectos y acciones para jóvenes (categorías: 8. Proyectos y Acciones en Pro del Desarrollo Juvenil, 9. Apoyo a proyectos sociales de Colectivos y Grupos juveniles, 10. Jóvenes Ecosol y 11. Joven AC). Las características de los apoyos, montos y requisitos de elegibilidad varían en función de cada categoría de apoyo, los jóvenes deben postular a través de convocatorias específicas.",38486033.0,761325.0,574.0,0.001491450158035254,0.08,256.07,247.95,247.94
20-E003,2016,Bienestar,Servicios a grupos con necesidades especiales,Bienestar Económico,"El Programa ""Servicios a grupos con necesidades especiales"" (E 003) a cargo del Instituto Nacional de las Personas Adultas Mayores (Inapam) tiene como objetivo contribuir a construir una sociedad igualitaria donde exista acceso irrestricto al bienestar social mediante acciones que protejan el ejercicio de los derechos de todas las personas, mediante la atención preferente en materia de asesoría jurídica, salud, e igualdad de oportunidades en el acceso al trabajo a las personas adultas mayores (PAM). Para ello, se expide una credencial para el registro al Instituto de las PAM que lo soliciten y con esto puedan tener acceso a descuentos en servicios de salud, alimentación, transporte, vestido, hogar, recreación y cultura, beneficios derivados de los convenios firmados con el sector público, privado y social. Asimismo, el Programa, a través del Inapam, ofrece a las PAM servicios de asesoría jurídica, actividades físicas y deportivas, capacitación para el trabajo, un Centro de Atención Integral, Centros Culturales, Albergues y Residencias diurnas.",12520721.0,11664995.0,920066.0,7.35,7.89,321.7,353.01,353.01
19-S038,2016,Aportaciones a Seguridad Social,Programa IMSS-PROSPERA,Salud,"El objetivo del Programa IMSS-PROSPERA es contribuir a cerrar las brechas existentes en salud entre los diferentes grupos sociales y regiones del país. Su operación se fundamenta en el Modelo de Atención Integral a la Salud que vincula la atención médica con las acciones comunitarias. El Programa, cuya administración está a cargo del Instituto Mexicano del Seguro Social, proporciona apoyos permanentes en especie a través de servicios integrales de salud en las unidades médicas y mediante asesorías y orientación a la red comunitaria del Programa (parteras rurales, voluntarios de salud y agentes comunitarios de salud). Está dirigido a la población que carece de acceso a los servicios de salud y no es atendida por ninguna otra institución del Sistema Nacional de Salud y, en su mayoría, se encuentra en condiciones de vulnerabilidad y marginación. ",16323005.0,12344531.0,10367215.0,63.51,83.98,10201.3,10201.3,10201.3
16-S217,2016,Medio Ambiente y Recursos Naturales,Programa de Apoyo a la Infraestructura Hidroagrícola,Bienestar Económico,"El programa se orienta a promover un uso eficiente del agua para aumentar la producción y productividad en la agricultura en distritos y unidades de riego, y de temporal tecnificado, a través de acciones de rehabilitación, modernización, tecnificación y equipamiento de la infraestructura hidroagrícola, además de ampliar superficies en áreas de riego y de temporal. 
Las acciones están dirigidas a las Asociaciones Civiles de Usuarios, Sociedades de Responsabilidad Limitada y Usuarios hidroagrícolas de los distritos y unidades de riego, Distritos de Temporal Tecnificado y de Zonas de Temporal, o en su caso entes públicos que soliciten los apoyos de los programas y que cumplan los requisitos generales, específicos y procedimientos de selección, que se establecen en las reglas de operación y que se ejecutan a la demanda cada año.
",40351.0,2003.0,2373.0,5.88,118.47,2974.1,3665.57,3665.57
16-S074,2016,Medio Ambiente y Recursos Naturales,"Programa de Agua potable, Alcantarillado y Saneamiento",Vivienda,"El programa brinda apoyos técnicos en materia de supervisión e integración de proyectos y financiamiento para su ejecución mediante convenios anuales con las entidades federativas y, a través de éstas, a los municipios y organismos operadores; con el propósito de fortalecer la infraestructura existente de agua potable, alcantarillado y saneamiento de zonas urbanas y rurales del país para contribuir a incrementar la cobertura de los servicios a efecto de que todos los habitantes cuenten con servicios de calidad en sus viviendas. ",7000000.0,890000.0,994351.0,14.21,111.72,9990.88,8293.42,8293.42
16-S046,2016,Medio Ambiente y Recursos Naturales,Programa de Conservación para el Desarrollo Sostenible,Medio Ambiente Sano,"Promueve la conservación de ecosistemas y su biodiversidad en las Regiones Prioritarias (RP), mediante el aprovechamiento sostenible, con igualdad de oportunidades para mujeres y hombres, con énfasis en población indígena, a través de adopción y práctica de actividades productivas alternativas y fortalecimiento de capacidades locales de gestión. Otorga apoyos económicos con temporalidad variable, para realizar estudios, proyectos técnicos y cursos de capacitación, dirigido a mujeres y hombres de 18 o más años de edad que conforman grupos organizados, ejidos y comunidades, personas morales que sean propietarios, poseedores, usufructuarios o usuarios de los recursos naturales comprendidos dentro de las Regiones Prioritarias.",1705472.0,1034821.0,38932.0,2.28,3.76,240.5,264.41,264.41
14-S043,2016,Trabajo y Previsión Social,Programa de Apoyo al Empleo (PAE),Trabajo,"En el 2017 el Programa de Apoyo al Empleo (PAE) atiende a buscadores de empleo de 16 años o más y su objetivo es brindar atención a la población buscadora de empleo, mediante el otorgamiento de apoyos económicos (beca por un monto de uno a tres salarios mínimos por día que asista al curso) o en especie para fortalecer sus habilidades laborales y promover su ocupación por cuenta propia (apoyos por única vez  y consisten en mobiliario, maquinaria, equipo y/o herramienta, cuyo costo puede ser de hasta $25,000.00 por persona; y hasta $125,000.00  cuando el número de integrantes que conforman la Iniciativa de Ocupación por Cuenta Propia -IOCP- sea de cinco o más).  También ayuda a su Movilidad Laboral con la finalidad de facilitar su colocación en un puesto de trabajo o actividad productiva (El apoyo que otorga este subprograma será hasta por un monto de $1,800.00).  Cabe mencionar que en 2016  el Programa otorgó sus apoyos mediante cinco subprogramas: Servicios de Vinculación Laboral, Bécate, Fomento al Autoempleo, Movilidad Laboral y Repatriados Trabajando.",12768655.0,350794.0,408624.0,3.2,116.49,1726.6,1563.96,1563.96
14-E004,2016,Trabajo y Previsión Social,Capacitación para Incrementar la Productividad,Trabajo,"El objetivo general del Programa de Capacitación para Incrementar la Productividad es fomentar la capacitación y el adiestramiento de los trabajadores asalariados mediante la realización de cursos en la modalidad presencial y a distancia y el otorgamiento de subsidios para la certificación de sus competencias laborales que incidan favorablemente en la competitividad del país; así como salvaguardar los derechos de los trabajadores y personas en situación de vulnerabilidad y vigilar el cumplimiento de la normatividad laboral mediante acciones de protección al salario, la promoción de la productividad laboral y orientación sindical.",21200000.0,130000.0,59763.0,0.28,45.97,84.52,42.61,42.61
14-E003,2016,Trabajo y Previsión Social,Ejecución de los programas y acciones de la Política Laboral,Trabajo,"Tiene como propósito que los centros de trabajo cuenten con condiciones de trabajo digno o decente; mediante el fomento a la incorporación al Programa de Autogestión en Seguridad y Salud en el Trabajo (PASST), promover la aplicación de buenas prácticas laborales a favor de las personas en situación de vulnerabilidad con la obtención de los Distintivos Empresa Incluyente Gilberto Rincón Gallardo (DEI); Empresa Familiarmente Responsable (DEFR); Empresa Agrícola Libre de Trabajo Infantil (DEALTI) y México sin Trabajo Infantil (DIMEXSTRI), el acceso a la seguridad social y vigilancia a través de operativos de inspección para el cumplimiento de la normatividad laboral, en coordinación y operación de las Delegaciones, Subdelegaciones y Oficinas Federales del Trabajo en las 32 Entidades Federativas.",429415.0,93532.0,93532.0,21.78,100.0,578.54,665.96,665.96
12-S200,2016,Salud,Fortalecimiento a la atención médica,Salud,"Con base en los recursos aprobados en el Presupuesto de Egresos de la Federación para el ejercicio fiscal correspondiente, el Programa realiza acciones de forma anual, para la organización y operación efectiva de equipos de salud itinerantes que brindan servicios de Atención Primaria a la Salud, promoción de la salud, prevención de enfermedades, atención médica y odontológica, a toda la población sin discriminación, en localidades geográficamente dispersas y sin acceso a servicios de salud, mediante Unidades Médicas Móviles de diferente Capacidad Resolutiva y recursos humanos capacitados, medios de transporte, Casas de Salud, recursos materiales (medicamentos, insumos, dispositivos médicos) así como tecnologías de la información y comunicaciones que inciden en un espacio geográfico determinado. Asimismo, se busca la continuidad de la atención a través de la referencia de pacientes a unidades médicas de mayor Capacidad Resolutiva de la Redes Integradas de Servicios de Salud.",6270698.0,1632142.0,1017006.0,16.22,62.31,857.83,771.48,771.48
12-S039,2016,Salud,Programa de Atención a Personas con Discapacidad,Seguridad Social,"El Programa de Atención a Personas con Discapacidad tiene como objetivo específico fomentar la ejecución de obras y/o acciones enfocadas a que las personas con discapacidad cuenten con medios que promuevan su inclusión social, a través de la instrumentación de proyectos que tengan una ejecución o duración para su conclusión dentro del ejercicio fiscal. Para esto, el programa otorga recursos económicos (subsidios federales), a los sistemas estatales (SEDIF), sistemas municipales (SMDIF) a través de los SEDIF y a las organizaciones de la sociedad civil (OSC). Los proyectos se circunscriben en tres vertientes: 1) Acciones en salud para la atención a personas con discapacidad (ayudas funcionales y equipo, atención especializada, promoción de la salud y prevención de la discapacidad), 2) Acciones de infraestructura y equipamiento para la atención de las personas con discapacidad (remodelación, construcción, operación y equipamiento) y, 3) Acciones de desarrollo para la inclusión laboral, educativa y social de las personas con discapacidad.",4527784.0,,8016.0,0.18,,41.76,49.23,49.23
12-E041,2016,Salud,"Protección y restitución de los derechos de las niñas, niños y adolescentes",No Discriminación,"El programa responde a la necesidad manifestada en la Ley General para la Protección de Niñas, Niños y Adolescentes (LGPNNA) publicada en el DOF el 4 de diciembre de 2014, de establecer la protección activa del Estado en favor de los niños, niñas y adolescentes al tutelar sus derechos, y coordinar acciones que contribuyan al respeto, protección, atención y ejercicio efectivo de los mismos. El programa coordina a nivel Federal y estatal las Procuradurías de Protección de niñas, niños y adolescentes, para la debida determinación, coordinación de la ejecución y seguimiento de las medidas de protección integral y restitución de los derechos de niñas, niños y adolescentes, a través de sus planes de restitución de derechos, representaciones jurídicas brindadas a los niños, niñas y adolescentes, así como el establecimiento de mecanismos para la autorización, registro, certificación y supervisión de Centros de Asistencia Social y procesos de adopción.",39200000.0,1500.0,2141.0,0.01,142.73,120.4,108.79,108.79
12-E040,2016,Salud,Servicios de asistencia social integral,Salud,"El programa responde a la necesidad manifiesta en la Ley de Asistencia Social y la Ley General para la Inclusión de las Personas con Discapacidad, focalizando sus esfuerzos en las personas que se encuentran en situación de vulnerabilidad que requieren de servicios especializados para su protección e incorporación a una vida plena y productiva, brindando atención médica y paramédica especializada a personas con discapacidad o riesgo de presentarla mediante la rehabilitación, servicios de asistencia social mediante la atención integral a niñas, niños, adolescentes y adultos mayores albergados en los centros de asistencia y de esparcimiento en los campamentos recreativos, y servicios de asistencia social integral otorgados en el Centro Nacional de Modelo de Atención, Integración y Capacitación para el Desarrollo Comunitario Tlazocihualpilli (único centro que tiene el programa en la Ciudad de México).",5784134.0,1935554.0,1538781.0,26.6,79.5,824.72,838.92,838.92
12-E036,2016,Salud,Programa de vacunación,Salud,"El Programa se rige por los lineamientos del Programa de Vacunación Universal y Semanas Nacionales de Salud, cuyo objetivo es otorgar protección específica a la población contra enfermedades que son prevenibles a través de la aplicación de vacunas garantizando el acceso de manera universal.
Tiene como fin contribuir a consolidar las acciones de protección, promoción de la salud y prevención de enfermedades mediante acciones permanentes e intensivas de vacunación, capacitación, supervisión y difusión de campañas de vacunación.
",122275170.0,27750049.0,27195048.0,22.24,98.0,1919.94,2025.36,2025.36
12-E025,2016,Salud,Prevención y atención contra las adicciones,Salud,"El programa se dirige a establecer políticas públicas orientadas a mejorar la calidad y ampliar la cobertura de los servicios para prevenir y atender integralmente los problemas de salud ocasionados por el uso, abuso y dependencia del tabaco, alcohol y otras drogas en la población en general y a nivel nacional, con énfasis en grupos de mayor riesgo; es decir a las personas que, por sus características biopsicosociales y de vulnerabilidad social tienen mayor probabilidad de uso, abuso o dependencia, mediante apoyos financieros, capacitación en temas de adicciones, medicamentos, acciones de prevención y promoción, dirigidos a unidades de atención especializadas en adicciones, (Unidades de Especialidades Médicas-Centros de Atención Primaria en Adicciones y Centros de Integración Juvenil, A.C.).",111227027.0,13409429.0,8091357.0,7.27,60.34,1405.03,1175.62,1175.62
12-E023,2016,Salud,Atención a la Salud,Salud,"El Programa proporciona atención hospitalaria y ambulatoria de alta complejidad a la población que demanda los servicios de atención médica especializada en las unidades médicas que integran la Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad (CCINSHAE): Institutos Nacionales de Salud, Hospitales Regionales de Alta Especialidad, Hospitales Federales de Referencia y Servicios de Atención Psiquiátrica en coordinación con la red de servicios.",2496488.0,1864781.0,1841013.0,73.74,98.73,19983.66,20356.11,20356.11
12-E022,2016,Salud,Investigación y desarrollo tecnológico en salud,Salud,"El programa otorga financiamiento, en apego al Reglamento de Programas de Estímulos al Desempeño de los Investigadores de Ciencias Médicas de la Secretaría de Salud y al Reglamento para el Ingreso, la Promoción y Permanencia al Sistema Institucional de Investigadores en Ciencias Médicas de la Secretaría de Salud, para actividades de investigación científica y tecnológica a profesionales de la salud de las unidades que integran la Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad (CCINSHAE), para realiza acciones que impulsen la eficiencia terminal de proyectos, incrementar la productividad científica y promueva la publicación de los resultados de las investigaciones en revistas especializadas.",1736.0,1730.0,1593.0,91.76,92.08,2057.1,2205.53,2205.53
12-E010,2016,Salud,Formación y capacitación de recursos humanos para la salud,Salud,"El Programa atiende la demanda de formación de médicos especialistas, posgrado no clínico y educación continua del personal de la salud que se presenta en los organismos coordinados por la Secretaría de Salud, mediante la programación anual de cursos de formación y educación continua y los cursos de capacitación en temas administrativos, técnicos y gerenciales, dirigidos éstos últimos a todos los servidores públicos de la propia Secretaría de Salud, con personal de la Secretaría o externos.",172342.0,144346.0,139253.0,80.8,96.47,3783.6,3328.61,3328.6
